"","terms","count","probability"
"273","parti",58,0.000667050028752156
"274","room",58,0.000667050028752156
"275","small",58,0.000667050028752156
"276","special",58,0.000667050028752156
"277","water",58,0.000667050028752156
"278","allow",57,0.000655549166187464
"279","bring",57,0.000655549166187464
"280","deal",57,0.000655549166187464
"281","face",57,0.000655549166187464
"282","law",57,0.000655549166187464
"283","side",57,0.000655549166187464
"284","soon",57,0.000655549166187464
"285","univers",57,0.000655549166187464
"286","bill",56,0.000644048303622772
"287","clear",56,0.000644048303622772
"288","email",56,0.000644048303622772
"289","fact",56,0.000644048303622772
"290","learn",56,0.000644048303622772
"291","pick",56,0.000644048303622772
"292","babi",55,0.000632547441058079
"293","card",55,0.000632547441058079
"294","member",55,0.000632547441058079
"295","train",55,0.000632547441058079
"296","white",55,0.000632547441058079
"297","complet",54,0.000621046578493387
"298","five",54,0.000621046578493387
"299","govern",54,0.000621046578493387
"300","offici",54,0.000621046578493387
"301","pretti",54,0.000621046578493387
"302","quick",54,0.000621046578493387
"303","cut",53,0.000609545715928695
"304","decid",53,0.000609545715928695
"305","drive",53,0.000609545715928695
"306","far",53,0.000609545715928695
"307","fun",53,0.000609545715928695
"308","lol",53,0.000609545715928695
"309","probabl",53,0.000609545715928695
"310","program",53,0.000609545715928695
"311","releas",53,0.000609545715928695
"312","whole",53,0.000609545715928695
"313","fire",52,0.000598044853364002
"314","kill",52,0.000598044853364002
"315","possibl",52,0.000598044853364002
"316","presid",52,0.000598044853364002
"317","recent",52,0.000598044853364002
"318","respons",52,0.000598044853364002
"319","togeth",52,0.000598044853364002
"320","art",51,0.00058654399079931
"321","cool",51,0.00058654399079931
"322","depart",51,0.00058654399079931
"323","matter",51,0.00058654399079931
"324","noth",51,0.00058654399079931
"325","paper",51,0.00058654399079931
"326","product",51,0.00058654399079931
"327","sometim",51,0.00058654399079931
"328","system",51,0.00058654399079931
"329","test",51,0.00058654399079931
"330","anyon",50,0.000575043128234618
"331","heart",50,0.000575043128234618
"332","nice",50,0.000575043128234618
"333","organ",50,0.000575043128234618
"334","women",50,0.000575043128234618
"335","bodi",49,0.000563542265669925
"336","break",49,0.000563542265669925
"337","district",49,0.000563542265669925
"338","eat",49,0.000563542265669925
"339","fall",49,0.000563542265669925
"340","film",49,0.000563542265669925
"341","hear",49,0.000563542265669925
"342","larg",49,0.000563542265669925
"343","movi",49,0.000563542265669925
"344","offic",49,0.000563542265669925
"345","provid",49,0.000563542265669925
"346","return",49,0.000563542265669925
"347","rule",49,0.000563542265669925
"348","weekend",49,0.000563542265669925
"349","cover",48,0.000552041403105233
"350","direct",48,0.000552041403105233
"351","effect",48,0.000552041403105233
"352","instead",48,0.000552041403105233
"353","light",48,0.000552041403105233
"354","mother",48,0.000552041403105233
"355","order",48,0.000552041403105233
"356","rate",48,0.000552041403105233
"357","rememb",48,0.000552041403105233
"358","visit",48,0.000552041403105233
"359","author",47,0.000540540540540541
"360","beauti",47,0.000540540540540541
"361","communiti",47,0.000540540540540541
"362","date",47,0.000540540540540541
"363","die",47,0.000540540540540541
"364","doesnt",47,0.000540540540540541
"365","mayb",47,0.000540540540540541
"366","piec",47,0.000540540540540541
"367","readi",47,0.000540540540540541
"368","saw",47,0.000540540540540541
"369","short",47,0.000540540540540541
"370","understand",47,0.000540540540540541
"371","bad",46,0.000529039677975848
"372","board",46,0.000529039677975848
"373","continu",46,0.000529039677975848
"374","cost",46,0.000529039677975848
"375","drink",46,0.000529039677975848
"376","eye",46,0.000529039677975848
"377","full",46,0.000529039677975848
"378","hospit",46,0.000529039677975848
"379","late",46,0.000529039677975848
"380","save",46,0.000529039677975848
"381","sign",46,0.000529039677975848
"382","space",46,0.000529039677975848
"383","tomorrow",46,0.000529039677975848
"384","true",46,0.000529039677975848
"385","usual",46,0.000529039677975848
"386","wish",46,0.000529039677975848
"387","base",45,0.000517538815411156
"388","challeng",45,0.000517538815411156
"389","charg",45,0.000517538815411156
"390","death",45,0.000517538815411156
"391","local",45,0.000517538815411156
"392","major",45,0.000517538815411156
"393","perform",45,0.000517538815411156
"394","price",45,0.000517538815411156
"395","quit",45,0.000517538815411156
"396","road",45,0.000517538815411156
"397","tonight",45,0.000517538815411156
"398","black",44,0.000506037952846463
"399","easi",44,0.000506037952846463
"400","front",44,0.000506037952846463
"401","inform",44,0.000506037952846463
"402","men",44,0.000506037952846463
"403","pictur",44,0.000506037952846463
"404","requir",44,0.000506037952846463
"405","result",44,0.000506037952846463
"406","site",44,0.000506037952846463
"407","appear",43,0.000494537090281771
"408","begin",43,0.000494537090281771
"409","chanc",43,0.000494537090281771
"410","given",43,0.000494537090281771
"411","mind",43,0.000494537090281771
"412","per",43,0.000494537090281771
"413","red",43,0.000494537090281771
"414","remain",43,0.000494537090281771
"415","serv",43,0.000494537090281771
"416","step",43,0.000494537090281771
"417","street",43,0.000494537090281771
"418","union",43,0.000494537090281771
"419","wrong",43,0.000494537090281771
"420","’ve",42,0.000483036227717079
"421","add",42,0.000483036227717079
"422","behind",42,0.000483036227717079
"423","excit",42,0.000483036227717079
"424","experi",42,0.000483036227717079
"425","favorit",42,0.000483036227717079
"426","fund",42,0.000483036227717079
"427","lost",42,0.000483036227717079
"428","note",42,0.000483036227717079
"429","page",42,0.000483036227717079
"430","phone",42,0.000483036227717079
"431","prepar",42,0.000483036227717079
"432","shot",42,0.000483036227717079
"433","video",42,0.000483036227717079
"434","els",41,0.000471535365152386
"435","forc",41,0.000471535365152386
"436","increas",41,0.000471535365152386
"437","messag",41,0.000471535365152386
"438","mom",41,0.000471535365152386
"439","news",41,0.000471535365152386
"440","pleas",41,0.000471535365152386
"441","sit",41,0.000471535365152386
"442","third",41,0.000471535365152386
"443","within",41,0.000471535365152386
"444","almost",40,0.000460034502587694
"445","caus",40,0.000460034502587694
"446","coach",40,0.000460034502587694
"447","consid",40,0.000460034502587694
"448","fan",40,0.000460034502587694
"449","feder",40,0.000460034502587694
"450","figur",40,0.000460034502587694
"451","half",40,0.000460034502587694
"452","monday",40,0.000460034502587694
"453","pass",40,0.000460034502587694
"454","polit",40,0.000460034502587694
"455","present",40,0.000460034502587694
"456","rais",40,0.000460034502587694
"457","sale",40,0.000460034502587694
"458","stuff",40,0.000460034502587694
"459","summer",40,0.000460034502587694
"460","wasnt",40,0.000460034502587694
"461","woman",40,0.000460034502587694
"462","although",39,0.000448533640023002
"463","april",39,0.000448533640023002
"464","beer",39,0.000448533640023002
"465","blue",39,0.000448533640023002
"466","color",39,0.000448533640023002
"467","control",39,0.000448533640023002
"468","decis",39,0.000448533640023002
"469","fight",39,0.000448533640023002
"470","goal",39,0.000448533640023002
"471","imag",39,0.000448533640023002
"472","posit",39,0.000448533640023002
"473","serious",39,0.000448533640023002
"474","son",39,0.000448533640023002
"475","sound",39,0.000448533640023002
"476","spend",39,0.000448533640023002
"477","store",39,0.000448533640023002
"478","success",39,0.000448533640023002
"479","bank",38,0.000437032777458309
"480","basic",38,0.000437032777458309
"481","certain",38,0.000437032777458309
"482","council",38,0.000437032777458309
"483","execut",38,0.000437032777458309
"484","guess",38,0.000437032777458309
"485","human",38,0.000437032777458309
"486","involv",38,0.000437032777458309
"487","perfect",38,0.000437032777458309
"488","reach",38,0.000437032777458309
"489","score",38,0.000437032777458309
"490","seen",38,0.000437032777458309
"491","shop",38,0.000437032777458309
"492","age",37,0.000425531914893617
"493","air",37,0.000425531914893617
"494","clean",37,0.000425531914893617
"495","collect",37,0.000425531914893617
"496","cook",37,0.000425531914893617
